agency_id,fare_id,price,currency_type,payment_method
0,0,0,MXN,0
0,1,0,MXN,0
0,2,0,MXN,0
0,3,0,MXN,0
0,4,0,MXN,0
0,5,0,MXN,0
0,6,0,MXN,0
0,7,0,MXN,0
0,8,0,MXN,0
0,9,0,MXN,0
0,10,0,MXN,0
0,11,0,MXN,0
0,12,0,MXN,0
0,13,0,MXN,0
0,14,0,MXN,0
0,15,0,MXN,0
1,16,0,MXN,0
1,17,0,MXN,0
1,18,0,MXN,0
1,19,0,MXN,0
1,20,0,MXN,0
1,21,0,MXN,0
1,22,0,MXN,0
1,23,0,MXN,0
1,24,0,MXN,0
2,25,0,MXN,0
1,26,0,MXN,0
1,27,0,MXN,0
2,28,0,MXN,0
1,29,0,MXN,0
1,30,0,MXN,0
1,31,0,MXN,0
1,32,0,MXN,0
1,33,0,MXN,0
1,34,0,MXN,0
1,35,0,MXN,0
1,36,0,MXN,0
1,37,0,MXN,0
1,38,0,MXN,0
1,39,0,MXN,0
2,40,0,MXN,0
1,41,0,MXN,0
1,42,0,MXN,0
2,43,0,MXN,0
2,44,0,MXN,0
1,45,0,MXN,0
2,46,0,MXN,0
2,47,0,MXN,0
2,48,0,MXN,0
3,49,0,MXN,0
2,50,0,MXN,0
3,51,0,MXN,0
2,52,0,MXN,0
2,53,0,MXN,0
4,54,0,MXN,0
2,55,0,MXN,0
1,56,0,MXN,0
1,57,0,MXN,0
1,58,0,MXN,0
4,59,0,MXN,0
2,60,0,MXN,0
1,61,0,MXN,0
1,62,0,MXN,0
1,63,0,MXN,0
2,64,0,MXN,0
2,65,0,MXN,0
3,66,0,MXN,0
4,67,0,MXN,0
4,68,0,MXN,0
1,69,0,MXN,0
1,70,0,MXN,0
1,71,0,MXN,0
1,72,0,MXN,0
1,73,0,MXN,0
1,74,0,MXN,0
1,75,0,MXN,0
1,76,0,MXN,0
1,77,0,MXN,0
1,78,0,MXN,0
5,79,0,MXN,0
3,80,0,MXN,0
2,81,0,MXN,0
2,82,0,MXN,0
2,83,0,MXN,0
2,84,0,MXN,0
2,85,0,MXN,0
2,86,0,MXN,0
2,87,0,MXN,0
2,88,0,MXN,0
2,89,0,MXN,0
2,90,0,MXN,0
5,91,0,MXN,0
2,92,0,MXN,0
2,93,0,MXN,0
2,94,0,MXN,0
4,95,0,MXN,0
4,96,0,MXN,0
4,97,0,MXN,0
4,98,0,MXN,0
5,99,0,MXN,0
5,100,0,MXN,0
5,101,0,MXN,0
5,102,0,MXN,0
5,103,0,MXN,0
5,104,0,MXN,0
6,105,0,MXN,0
6,106,0,MXN,0
6,107,0,MXN,0
6,108,0,MXN,0
6,109,0,MXN,0
6,110,0,MXN,0
6,111,0,MXN,0
6,112,0,MXN,0
6,113,0,MXN,0
6,114,0,MXN,0
0,115,0,MXN,0
0,116,0,MXN,0
0,117,0,MXN,0
0,118,0,MXN,0
6,119,0,MXN,0
6,120,0,MXN,0
6,121,0,MXN,0
6,122,0,MXN,0
6,123,0,MXN,0
6,124,0,MXN,0
6,125,0,MXN,0
6,126,0,MXN,0
6,127,0,MXN,0
6,128,0,MXN,0
6,129,0,MXN,0
6,130,0,MXN,0
6,131,0,MXN,0
6,132,0,MXN,0
6,133,0,MXN,0
6,134,0,MXN,0
6,135,0,MXN,0
6,136,0,MXN,0
6,137,0,MXN,0
6,138,0,MXN,0
6,139,0,MXN,0
6,140,0,MXN,0
7,141,0,MXN,0
7,142,0,MXN,0
7,143,0,MXN,0
7,144,0,MXN,0
0,145,0,MXN,0
7,146,0,MXN,0
0,147,0,MXN,0
7,148,0,MXN,0
7,149,0,MXN,0
0,150,0,MXN,0
7,151,0,MXN,0
7,152,0,MXN,0
7,153,0,MXN,0
0,154,0,MXN,0
7,155,0,MXN,0
7,156,0,MXN,0
7,157,0,MXN,0
0,158,0,MXN,0
7,159,0,MXN,0
7,160,0,MXN,0
7,161,0,MXN,0
7,162,0,MXN,0
7,163,0,MXN,0
7,164,0,MXN,0
7,165,0,MXN,0
7,166,0,MXN,0
7,167,0,MXN,0
0,168,0,MXN,0
7,169,0,MXN,0
0,170,0,MXN,0
7,171,0,MXN,0
0,172,0,MXN,0
8,173,0,MXN,0
0,174,0,MXN,0
9,175,0,MXN,0
7,176,0,MXN,0
9,177,0,MXN,0
0,178,0,MXN,0
9,179,0,MXN,0
0,180,0,MXN,0
7,181,0,MXN,0
0,182,0,MXN,0
9,183,0,MXN,0
9,184,0,MXN,0
7,185,0,MXN,0
9,186,0,MXN,0
8,187,0,MXN,0
9,188,0,MXN,0
7,189,0,MXN,0
0,190,0,MXN,0
9,191,0,MXN,0
9,192,0,MXN,0
9,193,0,MXN,0
10,194,0,MXN,0
10,195,0,MXN,0
11,196,0,MXN,0
11,197,0,MXN,0
10,198,0,MXN,0
10,199,0,MXN,0
10,200,0,MXN,0
0,201,0,MXN,0
10,202,0,MXN,0
10,203,0,MXN,0
0,204,0,MXN,0
0,205,0,MXN,0
7,206,0,MXN,0
11,207,0,MXN,0
11,208,0,MXN,0
12,209,0,MXN,0
12,210,0,MXN,0
12,211,0,MXN,0
12,212,0,MXN,0
12,213,0,MXN,0
12,214,0,MXN,0
10,215,0,MXN,0
12,216,0,MXN,0
7,217,0,MXN,0
7,218,0,MXN,0
12,219,0,MXN,0
4,220,0,MXN,0
4,221,0,MXN,0
4,222,0,MXN,0
4,223,0,MXN,0
13,224,0,MXN,0
13,225,0,MXN,0
13,226,0,MXN,0
13,227,0,MXN,0
13,228,0,MXN,0
13,229,0,MXN,0
13,230,0,MXN,0
13,231,0,MXN,0
13,232,0,MXN,0
13,233,0,MXN,0
13,234,0,MXN,0
13,235,0,MXN,0
13,236,0,MXN,0
13,237,0,MXN,0
13,238,0,MXN,0
13,239,0,MXN,0
13,240,0,MXN,0
12,241,0,MXN,0
13,242,0,MXN,0
13,243,0,MXN,0
13,244,0,MXN,0
13,245,0,MXN,0
13,246,0,MXN,0
13,247,0,MXN,0
13,248,0,MXN,0
13,249,0,MXN,0
13,250,0,MXN,0
13,251,0,MXN,0
13,252,0,MXN,0
13,253,0,MXN,0
14,254,0,MXN,0
14,255,0,MXN,0
13,256,0,MXN,0
14,257,0,MXN,0
13,258,0,MXN,0
14,259,0,MXN,0
14,260,0,MXN,0
13,261,0,MXN,0
13,262,0,MXN,0
14,263,0,MXN,0
